Year & Month,Villa,Cont_Code,Job_Code, Rate , Work Order Quantity , UOM , Executed Quantity , Balance Qty , Completion Percentage , Billed , To Release , Current Billed 
Dec-23,V1,CV047,PMY001, 54.00 , 151.12 , SQM , 151.12 , -   , 1.00 ," 8,160.48 ", -   , -   
Dec-23,V1,CV062,PMY002," 4,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 4,000.00 ", -   , -   
Dec-23,V1,CV062,PMY003, 500.00 , 2.00 , NOS , 2.00 , -   , 1.00 ," 1,000.00 ", -   , -   
Dec-23,V1,CV062,EHK001, 211.68 , 165.15 , CUM , 165.15 , -   , 1.00 ," 34,958.95 ", -   , -   
Dec-23,V1,CV062,EHK002, 22.00 , 82.57 , SQM , 82.57 , -   , 1.00 ," 1,816.54 ", -   , -   
Dec-23,V1,CV062,EHK003, 141.12 , 135.32 , CUM , 135.32 , -   , 1.00 ," 19,096.36 ", -   , -   
Dec-23,V1,CV062,EHK004, 211.68 , 9.14 , CUM , 9.14 , -   , 1.00 ," 1,934.76 ", -   , -   
Dec-23,V1,CV062,EHK005, 141.12 , 62.80 , CUM , 62.80 , -   , 1.00 ," 8,862.34 ", -   , -   
Dec-23,V1,CV062,EHK006, 22.00 , 151.12 , SQM , 151.12 , -   , 1.00 ," 3,324.64 ", -   , -   
Dec-23,V1,CV047,EHK007, 141.12 , 15.63 , CUM , 15.63 , -   , 1.00 ," 2,205.71 ", -   , -   
Dec-23,V1,CV063,EHK008," 5,500.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 5,500.00 ", -   , -   
Dec-23,V1,CV063,EHK007," 3,000.00 ", 1.00 , LUMP SUM , 1.00 , -   , 1.00 ," 3,000.00 ", -   , -   
Dec-23,V1,CV062,CRG001," 1,000.00 ", 5.68 , CUM , 5.68 , -0.00 , 1.00 ," 5,680.00 ", -   , -   
Dec-23,V1,CV062,CRG002," 1,000.00 ", 4.57 , CUM , 4.57 , -0.00 , 1.00 ," 4,570.00 ", -   , -   
