Description,Category,Job_Code
LEDGE WALL PLASTERING & BLOCK WORK,Additional,ATL001
ADDITIONAL CIVIL AND STRUCTURAL WORK ON SFT BASIS,Additional,ATL002
LEDGE WALL GRANITE,Additional,ATL003
LAYING FLOOR PROTECTOR SHEET & TILE CLEANING,Additional,ATL004
"CUSTOMIZATION SHUTTERING OF TERRACE COLUMN, BEAM AND SLAB, LINTEL AND CHAJJA",Additional,ATL005
CUSTOMIZATION FLOOR BLOCK WORK,Additional,ATL006
CUSTOMIZATION FLOOR INTERNAL PLASTERING WORK,Additional,ATL007
CUSTOMIZATION FLOOR EXTERNAL PLASTERING WORK,Additional,ATL008
TERRACE CONCRETE CHIPPING,Additional,ATL009
BEDROOM SCREED CONCRETE,Additional,ATL010
FRONT ENTRANCE FLOOR CONCRETE JOINTING WITH CEMENT ROAD WORK,Additional,ATL011
SARAT BARMAN LINTEL CHEJJA DIFFERENCE AMOUNT,Additional,ATL012
SSM & COPING CONCRETE WORK,Additional,ATL013
VILLA REINFORCEMENT,Additional,ATL014
SANCTION PLANS OF VILLAS FOR PANCHAYATH APPROVAL,Approvals,AOS001
FOOTING PCC WORK,Concreting,CRG001
PLINTH BEAM BOTTOM PCC WORK,Concreting,CRG002
BASE FLOOR PCC,Concreting,CRG003
FOOTING RCC,Concreting,CRG004
PEDESTAL COLUMN RCC,Concreting,CRG005
PLINTH BEAM RCC,Concreting,CRG006
GROUND FLOOR COLUMN RCC,Concreting,CRG007
GROUND FLOOR ROOF BEAM & SLAB RCC,Concreting,CRG008
GROUND FLOOR STAIRCASE SLAB RCC,Concreting,CRG009
"GROUND FLOOR SILL, LINTEL BEAM & CHEJJA RCC",Concreting,CRG010
FIRST FLOOR COLUMN RCC ,Concreting,CRG011
FIRST FLOOR ROOF BEAM & SLAB RCC,Concreting,CRG012
FIRST FLOOR STAIRCASE SLAB RCC,Concreting,CRG013
"FIRST FLOOR SILL, LINTEL BEAM & CHEJJA RCC",Concreting,CRG014
TERRACE FLOOR COLUMN RCC,Concreting,CRG015
TERRACE FLOOR ROOF BEAM & SLAB RCC,Concreting,CRG016
ALL LEVEL COLUMN STARTER,Concreting,CRG017
FOOTING RCC REWORK,Concreting,CRG018
"ALL FLOOR SILL, THROUGH LINTEL BEAM & CHEJJA RCC",Concreting,CRG019
TERRACE FLOOR CUSTOMISATION COLUMN RCC,Concreting,CRG020
TERRACE FLOOR CUSTOMISATION BEAM AND SLAB RCC,Concreting,CRG021
